Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status,days_since_first_outbreak,month_year,country_total_outbreaks
284880,Influenza - Avian,;H5N1 HPAI;,54.37,-2.16,Nr Hawes,U.K. of Great Britain and Northern Ireland,Europe,2020-12-13 00:00:00+00:00,2020-12-18 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,0.0,2020-12,233
284840,Influenza - Avian,;H5N1 HPAI;,53.26,6.13,Buitenpost,Netherlands,Europe,2020-12-14 00:00:00+00:00,2020-12-16 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,1.0,2020-12,81
310482,Influenza - Avian,;H5N1 HPAI;,52.235,6.6963,Bentelo (Ov),Netherlands,Europe,2021-01-03 00:00:00+00:00,2022-01-06 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,21.0,2021-01,81
310501,Influenza - Avian,;H5N1 HPAI;,52.235,6.6963,Bentelo (Ov),Netherlands,Europe,2021-01-03 00:00:00+00:00,2022-01-06 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,21.0,2021-01,81
310483,Influenza - Avian,;H5N1 HPAI;,53.334,5.8866,Blija,Netherlands,Europe,2021-01-03 00:00:00+00:00,2022-01-06 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,21.0,2021-01,81
310502,Influenza - Avian,;H5N1 HPAI;,53.334,5.8866,Blija,Netherlands,Europe,2021-01-03 00:00:00+00:00,2022-01-06 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,21.0,2021-01,81
289231,Influenza - Avian,;H5N1 HPAI;,56.22,-3.02,Nr Leven,U.K. of Great Britain and Northern Ireland,Europe,2021-02-06 00:00:00+00:00,2021-02-17 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,55.0,2021-02,233
294795,Influenza - Avian,;H5N1 HPAI;,53.48,7.23,Upgant-Schott,Germany,Europe,2021-02-23 00:00:00+00:00,2021-05-05 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,72.0,2021-02,246
295043,Influenza - Avian,;H5N1 HPAI;,53.48,7.23,Upgant-Schott,Germany,Europe,2021-02-23 00:00:00+00:00,2021-05-05 00:00:00+00:00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed,72.0,2021-02,246
294794,Influenza - Avian,;H5N1 HPAI;,53.34,7.25,Emden,Germany,Europe,2021-03-26 00:00:00+00:00,2021-05-05 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,103.0,2021-03,246
