Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
308128,Influenza - Avian,;H5N1 HPAI;,47.803519,-3.231016,LANGUIDIC,France,Europe,2021-11-20 00:00:00+00:00,2021-12-03 00:00:00+00:00,"Domestic,Goose,",WOAH (former OIE),,,Confirmed
310769,Influenza - Avian,;H5N1 HPAI;,47.803519,-3.231016,LANGUIDIC,France,Europe,2021-11-20 00:00:00+00:00,2022-01-10 00:00:00+00:00,"Domestic,Goose,",WOAH (former OIE),,,Confirmed
308719,Influenza - Avian,;H5N1 HPAI;,50.978537,2.532873,WARHEM,France,Europe,2021-11-21 00:00:00+00:00,2021-12-10 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
308503,Influenza - Avian,;H5N1 HPAI;,50.978537,2.532873,WARHEM,France,Europe,2021-11-21 00:00:00+00:00,2021-12-07 00:00:00+00:00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
308504,Influenza - Avian,;H5N1 HPAI;,50.851232,2.537569,WINNEZEELE,France,Europe,2021-12-03 00:00:00+00:00,2021-12-07 00:00:00+00:00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
309012,Influenza - Avian,;H5N1 HPAI;,50.851232,2.537569,WINNEZEELE,France,Europe,2021-12-03 00:00:00+00:00,2021-12-14 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
311269,Influenza - Avian,;H5N1 HPAI;,50.858531,2.488412,WORMHOUT,France,Europe,2021-12-04 00:00:00+00:00,2022-01-13 00:00:00+00:00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
308718,Influenza - Avian,;H5N1 HPAI;,50.858531,2.488412,WORMHOUT,France,Europe,2021-12-04 00:00:00+00:00,2021-12-10 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
308720,Influenza - Avian,;H5N1 HPAI;,50.901218,2.523837,HERZEELE,France,Europe,2021-12-05 00:00:00+00:00,2021-12-10 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
311272,Influenza - Avian,;H5N1 HPAI;,50.901218,2.523837,HERZEELE,France,Europe,2021-12-05 00:00:00+00:00,2022-01-13 00:00:00+00:00,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed
311231,Influenza - Avian,;H5N1 HPAI;,43.609712,-0.409798,PUYOL-CAZALET,France,Europe,2021-12-05 00:00:00+00:00,2022-01-13 00:00:00+00:00,"Domestic,Duck,",WOAH (former OIE),,,Confirmed
311261,Influenza - Avian,;H5N1 HPAI;,50.91962,2.568978,REXPOEDE,France,Europe,2021-12-06 00:00:00+00:00,2022-01-13 00:00:00+00:00,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
308721,Influenza - Avian,;H5N1 HPAI;,50.91962,2.568978,REXPOEDE,France,Europe,2021-12-06 00:00:00+00:00,2021-12-10 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
309011,Influenza - Avian,;H5N1 HPAI;,50.950039,2.523004,REXPOEDE,France,Europe,2021-12-08 00:00:00+00:00,2021-12-14 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
311232,Influenza - Avian,;H5N1 HPAI;,43.692063,-0.42941,saint-loubouer,France,Europe,2021-12-08 00:00:00+00:00,2022-01-13 00:00:00+00:00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
