Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
391580,Influenza - Avian,;H5N1 HPAI;,41.329213,19.753671,Mëzez,Albania,Europe,2024-10-28T00:00:00Z,2024-10-30T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
394974,Influenza - Avian,;H5N1 HPAI;,41.355869,19.828327,146990BABRRU-QËNDËR,Albania,Europe,2025-01-06T00:00:00Z,2025-01-11T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
393672,Influenza - Avian,;H5N1 HPAI;,41.392778,19.802111,"146115CEKREZ, MORINE",Albania,Europe,2024-12-27T00:00:00Z,2024-12-28T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
391895,Influenza - Avian,;H5N1 HPAI;,48.063,16.58,144397BRUCK AN DER LEITHA,Austria,Europe,2024-11-20T00:00:00Z,2024-12-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
371773,Influenza - Avian,;H5N1 HPAI;,46.773,13.746,OB_130820 - VIS.TKH-M.2024.262 - VILLACH-LAND,Austria,Europe,2024-01-12T00:00:00Z,2024-01-26T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
365958,Influenza - Avian,;H5N1 HPAI;,48.1,14.55,Amstetten,Austria,Europe,2023-10-26T00:00:00Z,2023-10-31T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
391945,Influenza - Avian,;H5N1 HPAI;,48.03,14.68,144344AMSTETTEN,Austria,Europe,2024-11-04T00:00:00Z,2024-12-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
391942,Influenza - Avian,;H5N1 HPAI;,48.07,14.77,144347AMSTETTEN,Austria,Europe,2024-11-10T00:00:00Z,2024-12-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
391944,Influenza - Avian,;H5N1 HPAI;,48.05,14.7,144345AMSTETTEN,Austria,Europe,2024-11-04T00:00:00Z,2024-12-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
391943,Influenza - Avian,;H5N1 HPAI;,48.13,14.48,144346AMSTETTEN,Austria,Europe,2024-11-06T00:00:00Z,2024-12-03T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
