Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
391768,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,Zarnewanz,54.06,12.48,WOAH (former OIE),Confirmed,Domestic,Chicken,25/11/2024,27/11/2024,,
391767,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,Dornum,53.64,7.48,WOAH (former OIE),Confirmed,Domestic,Chicken,23/11/2024,25/11/2024,,
391766,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Reußenköge,54.470038,9.51416,WOAH (former OIE),Confirmed,Domestic,Chicken,22/11/2024,25/11/2024,,
389029,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Slovakia,Nitra,ob_141520 - SK-HPAI (P)-2024/2025-1 - Novy Pavol,47.77,18.01,WOAH (former OIE),Confirmed,Domestic,Chicken,16/10/2024,22/10/2024,,
378131,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Bekes,Gyomaendr d,46.903093,20.747254,WOAH (former OIE),Confirmed,Domestic,Turkey,26/04/2024,29/04/2024,,
373452,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,Piove Di Sacco,45.304281,12.112575,WOAH (former OIE),Confirmed,Domestic,Turkey,19/02/2024,20/02/2024,,
373534,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Czech Republic,Jihomoravsky,OB_132125 - HPAI2-18/2024 - VALDÍKOV,49.24536,15.98602,WOAH (former OIE),Confirmed,Domestic,Chicken,13/02/2024,20/02/2024,,
373200,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,Hutton Cranswick  East Yorkshire,53.93,-0.34,WOAH (former OIE),Confirmed,Domestic,Chicken,12/02/2024,15/02/2024,,
372995,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,Denmark,Soenderjylland,Hokkerup,54.89957,9.47895,WOAH (former OIE),Confirmed,Domestic,Chicken,07/02/2024,12/02/2024,,
372897,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,Süderau,53.83,9.56,WOAH (former OIE),Confirmed,Domestic,Turkey,06/02/2024,08/02/2024,,
