Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation Date,Report Date,Humans.affected,Human.deaths
394669,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Poland,Lodzkie,146891MA KÓW,51.69097,18.63163,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,07/01/2025,09/01/2025,,
394709,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146876TREVENZUOLO,45.253118,10.935808,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,07/01/2025,08/01/2025,,
394710,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146875TREVENZUOLO,45.249597,10.937853,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,07/01/2025,08/01/2025,,
394667,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Schleswig-Holstein,146919MOHRKIRCH,54.68,9.69,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,06/01/2025,09/01/2025,,
394712,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146842ROVERBELLA,45.28669,10.780547,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,05/01/2025,08/01/2025,,
394713,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146841ROVERBELLA,45.295545,10.762689,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,05/01/2025,08/01/2025,,
394452,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Szabolcs-szatmar-bereg,146596 NYÍRBÁTOR,47.80057,22.15085,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,04/01/2025,06/01/2025,,
394711,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146843ROVERBELLA,45.2787,10.800989,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,04/01/2025,08/01/2025,,
394714,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146635TREVENZUOLO,45.248222,10.916122,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,04/01/2025,08/01/2025,,
394384,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Portugal,Lisboa,146558SÃO JOÃO DAS LAMPAS,38.898732,-9.400721,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,03/01/2025,04/01/2025,,
394718,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146630ROVERBELLA,45.289456,10.758892,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,03/01/2025,08/01/2025,,
394719,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146628ROVERBELLA,45.289988,10.765221,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,03/01/2025,08/01/2025,,
394720,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146626ROVERBELLA,45.312173,10.785147,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,03/01/2025,08/01/2025,,
394721,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146625ROVERBELLA,45.297148,10.761502,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,03/01/2025,08/01/2025,,
394449,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,146622 STRALSUND,54.31,13.05,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,02/01/2025,06/01/2025,,
394715,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146634VALEGGIO SUL MINCIO,45.32054,10.72671,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,02/01/2025,08/01/2025,,
394716,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146633NOGAROLE ROCCA,45.29831,10.853129,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,02/01/2025,08/01/2025,,
394717,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146631VALEGGIO SUL MINCIO,45.307218,10.766099,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,02/01/2025,08/01/2025,,
393738,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Poland,Warminsko-Mazurskie,146313WIERZBICA,53.477943,19.980622,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,31/12/2024,02/01/2025,,
393737,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Poland,Kujawsko-Pomorskie,146314  KORZ,53.4604,19.23334,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,30/12/2024,02/01/2025,,
394722,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146624VALEGGIO SUL MINCIO,45.325315,10.758821,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,30/12/2024,08/01/2025,,
394415,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,146537NAFFERTON  EAST RIDING OF YORKSHIRE,54.01,-0.37,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,28/12/2024,03/01/2025,,
393666,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Poland,Warminsko-Mazurskie,146174LUBAWA,53.498988,19.730947,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/12/2024,30/12/2024,,
393669,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,146117ROSTOCK,54.0778,12.0865,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/12/2024,30/12/2024,,
393672,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Albania,Tirane,146115CEKREZ  MORINE,41.392778,19.802111,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/12/2024,28/12/2024,,
394084,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Rheinland-Pfalz,146424HOCHDORF-ASSENHEIM,49.417,8.272,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/12/2024,02/01/2025,,
394422,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Bayern,146519AUGSBURG,48.34,10.91,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/12/2024,03/01/2025,,
394423,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Bayern,146513SCHWAIGEN,47.641,11.125,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/12/2024,03/01/2025,,
394723,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Emilia-romagna,146621VALSAMOGGIA,44.545434,11.164076,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/12/2024,08/01/2025,,
394724,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146619MARMIROLO,45.309171,10.721863,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,26/12/2024,08/01/2025,,
394725,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146617ISOLA RIZZA,45.29034,11.212726,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,24/12/2024,08/01/2025,,
393670,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,146116PROHN,54.368,13.023,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,23/12/2024,30/12/2024,,
394416,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,146261DRIFFIELD  EAST RIDING OF YORKSHIRE,53.9,-0.42,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,23/12/2024,03/01/2025,,
393473,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Poland,Warminsko-Mazurskie,145921TARGOWISKO GÓRNE,53.48909,19.69845,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,21/12/2024,24/12/2024,,
394727,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146613PIUBEGA,45.214873,10.516978,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,19/12/2024,08/01/2025,,
394726,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146616GOITO,45.283549,10.669582,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,17/12/2024,08/01/2025,,
393328,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Baden-Wuerttemberg,145721FORST,49.162,8.585,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,16/12/2024,19/12/2024,,
394728,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,146612SAN MARTINO BUON ALBERGO,45.398285,11.112459,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,16/12/2024,08/01/2025,,
394729,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,146611CERESARA,45.253204,10.598016,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,16/12/2024,08/01/2025,,
393305,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Czech Republic,Zapadocesky,145792DOLNÍ RYCHNOV,50.16764,12.64801,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,15/12/2024,20/12/2024,,
393306,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Czech Republic,Zapadocesky,145789VOJKOVICE,50.29298,13.01207,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,13/12/2024,20/12/2024,,
393304,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Czech Republic,Jihomoravsky,145795MICMANICE III,48.79694,16.18141,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,12/12/2024,20/12/2024,,
393307,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Czech Republic,Vychodocesky,145786KRÁLÍKY U NOVÉHO BYDŽOVA,50.2588,15.53786,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,12/12/2024,20/12/2024,,
392583,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,145048GARREL,52.914,7.97,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,11/12/2024,12/12/2024,,
392545,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,144995RONCADE,45.582161,12.373577,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,09/12/2024,11/12/2024,,
392585,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Bekes,145032L KÖSHÁZA,46.452147,21.253446,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,09/12/2024,11/12/2024,,
392966,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,145258THETFORD  NORFOLK,52.6,0.92,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,09/12/2024,13/12/2024,,
394730,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,145257GOITO,45.280478,10.621043,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,09/12/2024,08/01/2025,,
392499,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Mecklenburg-Vorpommern,144902LEWITZRAND,53.45,11.69,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,07/12/2024,09/12/2024,,
392500,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Netherlands,Friesland,144894FERWERDERADIEL,53.337147,5.888589,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,07/12/2024,09/12/2024,,
394731,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,145255CERESARA,45.268419,10.598481,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,07/12/2024,08/01/2025,,
392965,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,145259BESWICK  EAST RIDING OF YORKSHIRE,53.91,-0.44,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,06/12/2024,13/12/2024,,
393308,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Czech Republic,Severomoravsky,145782KRAVA E II,49.92703,18.03326,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,06/12/2024,20/12/2024,,
392120,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,Germany,Niedersachsen,144624MOLBERGEN,52.89,7.97,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,04/12/2024,06/12/2024,,
392544,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Lombardia,144756GUIDIZZOLO,45.285752,10.588372,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,04/12/2024,11/12/2024,,
392586,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Bacs-kiskun,145030KISKUNFÉLEGYHÁZA,46.775865,19.800372,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,04/12/2024,11/12/2024,,
393309,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Czech Republic,Jihomoravsky,145779SV TNOV,49.63666,15.96845,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,04/12/2024,20/12/2024,,
392967,Influenza - Avian,H5N1 HPAI,Europe,Northern Europe,U.K. of Great Britain and Northern Ireland,England,145202THETFORD  NORFOLK,52.6,0.95,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,03/12/2024,13/12/2024,,
391983,Influenza - Avian,H5N1 HPAI,Europe,Southern Europe,Italy,Veneto,144342FONTANELLE,45.834842,12.486675,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,02/12/2024,04/12/2024,,
391995,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Bekes,144410GÁDOROS,46.660236,20.60375,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,02/12/2024,04/12/2024,,
391994,Influenza - Avian,H5N1 HPAI,Europe,Eastern Europe,Hungary,Csongrad,144411SZENTES,46.648578,20.237727,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,01/12/2024,04/12/2024,,
