,Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
0,390661,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Auvergne,143196THENEUILLE (03282),46.599988,2.89416,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,07/11/2024,14/11/2024,,
1,388877,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Bourgogne,141432ÉPINAC (71190),46.99269,4.516878,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,09/10/2024,21/10/2024,,
2,387699,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Nord-Pas-de-Calais,140095 BOMY (62153) ,50.572162,2.235736,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,18/09/2024,27/09/2024,,
3,358420,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,Saint-Yaguen (40285),43.878213,-0.761322,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,10/07/2023,13/07/2023,,
4,358421,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Nord-Pas-de-Calais,Airon-Notre-Dame (62015),50.440585,1.677137,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,29/06/2023,13/07/2023,,
5,358422,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Centre,Saint-Germain-des-Prés (45279),47.979201,2.840444,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/06/2023,13/07/2023,,
6,356666,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,MONTESQUIOU (32285),43.600214,0.323634,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,12/06/2023,23/06/2023,,
7,355127,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,OB_119749 - IA20231147 - MIRAMONT-SENSACQ (40185) TYPE *,43.607,-0.313,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,30/05/2023,02/06/2023,,
8,355129,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,OB_119747 - IA20231139 - SÉGOS (32424),43.63668,0.278339,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,30/05/2023,02/06/2023,,
9,355131,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,OB_119685 - IA20231135 - MONTESQUIOU (32285),43.600635,0.319017,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,29/05/2023,02/06/2023,,
10,355132,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,OB_119404 - IA20231127 - SAINT-GEIN (40259),43.814961,0.298641,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,27/05/2023,02/06/2023,,
11,355128,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,OB_119748 - IA20231124 - LALANNE (65249),43.264434,0.574712,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,26/05/2023,02/06/2023,,
12,355130,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,OB_119746 - IA20231125 - SAINT-ARAILLES (32360),43.609615,0.327517,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,26/05/2023,02/06/2023,,
13,355133,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,OB_119403 - IA20231111 - PUYOL-CAZALET (40239),43.60883,-0.41114,WOAH (former OIE),Confirmed,Domestic,Unspecified Bird,26/05/2023,02/06/2023,,
