Event.ID,Disease,Serotype,Region,Subregion,Country,Admin.level.1,Locality,Latitude,Longitude,Diagnosis.source,Diagnosis.status,Animal.type,Species,Observation.date..dd.mm.yyyy.,Report.date..dd.mm.yyyy.,Humans.affected,Human.deaths
327097,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Basse-Normandie,OUISTREHAM,49.273099,-0.257858,WOAH (former OIE),Confirmed,Domestic,Chicken,29/06/2022,15/07/2022,,
322838,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,SAINT-ASTIER,44.726756,0.257752,WOAH (former OIE),Confirmed,Domestic,Duck,15/05/2022,24/05/2022,,
322837,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Poitou-Charentes,LAPRADE,45.269354,0.182913,WOAH (former OIE),Confirmed,Domestic,Duck,14/05/2022,24/05/2022,,
322833,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,PARRANQUET,44.658345,0.820177,WOAH (former OIE),Confirmed,Domestic,Duck,10/05/2022,24/05/2022,,
322842,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,ROUMAGNE,44.609873,0.345514,WOAH (former OIE),Confirmed,Domestic,Chicken,07/05/2022,24/05/2022,,
322840,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Poitou-Charentes,CHAPELLE-SAINT-LAURENT,46.713722,-0.497662,WOAH (former OIE),Confirmed,Domestic,Duck,25/04/2022,24/05/2022,,
324603,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,DORNAC,45.067669,1.321885,WOAH (former OIE),Confirmed,Domestic,Goose,19/04/2022,12/06/2022,,
324601,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,LACROPTE,45.064989,0.821693,WOAH (former OIE),Confirmed,Domestic,Duck,17/04/2022,13/06/2022,,
321780,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,ANGOISSE,45.446379,1.135614,WOAH (former OIE),Confirmed,Domestic,Chicken,15/04/2022,02/05/2022,,
324598,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,BALADOU,44.924,1.542,WOAH (former OIE),Confirmed,Domestic,Duck,14/04/2022,13/06/2022,,
324600,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,BALADOU,44.923,1.54,WOAH (former OIE),Confirmed,Domestic,Duck,14/04/2022,12/06/2022,,
324599,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,PAYRAC,44.778,1.444,WOAH (former OIE),Confirmed,Domestic,Duck,13/04/2022,12/06/2022,,
322839,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,SAINTE-FLAIVE-DES-LOUPS,46.593591,-1.613746,WOAH (former OIE),Confirmed,Domestic,Duck,11/04/2022,24/05/2022,,
321773,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHERREAU,48.18917,0.66755,WOAH (former OIE),Confirmed,Domestic,Chicken,08/04/2022,02/05/2022,,
322841,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Midi-Pyrenees,SAINT-DENIS-LES-MARTEL,44.9415,1.650569,WOAH (former OIE),Confirmed,Domestic,Duck,05/04/2022,24/05/2022,,
324597,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Aquitaine,LANOUAILLE,45.372,1.151,WOAH (former OIE),Confirmed,Domestic,Duck,05/04/2022,13/06/2022,,
322835,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,LOIREAUXENCE,47.459478,-1.091118,WOAH (former OIE),Confirmed,Domestic,Duck,04/04/2022,24/05/2022,,
322836,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,RIAILLE,47.50937,-1.314432,WOAH (former OIE),Confirmed,Domestic,Chicken,04/04/2022,24/05/2022,,
324606,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,MAUGES-SUR-LOIRE,47.317477,-0.862209,WOAH (former OIE),Confirmed,Domestic,Chicken,04/04/2022,13/06/2022,,
324607,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHAVAGNES,47.240542,-0.414756,WOAH (former OIE),Confirmed,Domestic,Turkey,04/04/2022,13/06/2022,,
324608,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.174972,-0.954037,WOAH (former OIE),Confirmed,Domestic,Duck,04/04/2022,12/06/2022,,
324609,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHAZE-SUR-ARGOS,47.637715,-0.911723,WOAH (former OIE),Confirmed,Domestic,Duck,04/04/2022,12/06/2022,,
324611,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,MAUGES-SUR-LOIRE,47.304697,-0.83391,WOAH (former OIE),Confirmed,Domestic,Chicken,04/04/2022,13/06/2022,,
324622,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHEMILLE-EN-ANJOU,47.254187,-0.811491,WOAH (former OIE),Confirmed,Domestic,Chicken,04/04/2022,13/06/2022,,
324605,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,LOIREAUXENCE,47.438384,-1.100878,WOAH (former OIE),Confirmed,Domestic,Chicken,03/04/2022,13/06/2022,,
324595,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.156,-1.125,WOAH (former OIE),Confirmed,Domestic,Chicken,02/04/2022,13/06/2022,,
324610,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,MORTAGNE-SUR-SEVRE,46.98904,-0.909491,WOAH (former OIE),Confirmed,Domestic,Chicken,02/04/2022,13/06/2022,,
324612,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,LANDES-GENUSSON,46.948478,-1.114147,WOAH (former OIE),Confirmed,Domestic,Turkey,02/04/2022,13/06/2022,,
324613,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,SEVREMONT,46.828177,-0.838668,WOAH (former OIE),Confirmed,Domestic,Duck,02/04/2022,13/06/2022,,
324593,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHEMILLE-EN-ANJOU,47.266,-0.799,WOAH (former OIE),Confirmed,Domestic,Chicken,30/03/2022,13/06/2022,,
324594,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,VAIR-SUR-LOIRE,47.404,-1.065,WOAH (former OIE),Confirmed,Domestic,Duck,30/03/2022,13/06/2022,,
324592,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,SAINT-PIERRE-LE-VIEUX,46.408,-0.766,WOAH (former OIE),Confirmed,Domestic,Chicken,29/03/2022,13/06/2022,,
324632,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,MAULEVRIER,47.038621,-0.803297,WOAH (former OIE),Confirmed,Domestic,Chicken,29/03/2022,13/06/2022,,
318372,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,MOTHE-ACHARD,46.568177,-1.657134,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318378,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,SEVREMOINE,47.108676,-1.007695,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318392,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.196815,-0.95738,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,04/04/2022,,
318395,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,SEVREMOINE,47.129244,-1.046838,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318396,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHEMILLE-EN-ANJOU,47.281077,-0.84236,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,04/04/2022,,
318397,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,MAULEVRIER,47.018654,-0.796661,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,04/04/2022,,
318398,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.263823,-0.870116,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318399,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,SEGUINIERE,47.108991,-0.953726,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318400,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHEMILLE-EN-ANJOU,47.238829,-0.760907,WOAH (former OIE),Confirmed,Domestic,Turkey,28/03/2022,04/04/2022,,
318401,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.196677,-0.957597,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,04/04/2022,,
318406,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUREPAIRE,46.909969,-1.064329,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318407,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,NOZAY,47.578703,-1.54038,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,04/04/2022,,
318409,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,THOUARSAIS BOUILDROUX,46.58479,-0.837303,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318410,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,VAIR SUR LOIRE,47.414089,-1.125205,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,04/04/2022,,
318411,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHEVROLIERE,47.085728,-1.624403,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
318412,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,CHEVROLIERE,47.068728,-1.583555,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,04/04/2022,,
324630,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.207811,-0.968289,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,12/06/2022,,
324631,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.180326,-1.003752,WOAH (former OIE),Confirmed,Domestic,Chicken,28/03/2022,13/06/2022,,
324634,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,a,47.246703,-0.912423,WOAH (former OIE),Confirmed,Domestic,Turkey,28/03/2022,13/06/2022,,
324635,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,SEVREMOINE,47.130451,-1.217452,WOAH (former OIE),Confirmed,Domestic,Duck,28/03/2022,12/06/2022,,
318370,Influenza - Avian,H5N1 HPAI,Europe,Western Europe,France,Pays-de-la-Loire,BEAUPREAU-EN-MAUGES,47.169992,-1.075623,WOAH (former OIE),Confirmed,Domestic,Chicken,27/03/2022,04/04/2022,,
